MAIN_RIV,DIS_AV_CMS
70283328,1558.223
70174032,1139.14
70283328,1558.529
70045262,1244.647
70283328,1558.741
70283328,1558.962
70283328,1559.16
70283328,1559.397
70045262,1245.266
70174032,1122.723
70283328,1560.13
70045262,1246.407
70174032,1121.493
70283328,1568.093
70045262,1245.328
70283328,1574.819
70283328,1574.996
70174032,1121.134
70283328,1584.049
70174032,1102.803
70283328,1584.829
70174032,1059.676
70174032,1102.043
70283328,1586.182
70045262,1245.379
70283328,1587.414
70174032,1059.146
70045262,1243.567
70174032,1038.772
70283328,1596.389
70045262,1243.54
70283328,1598.151
70174032,1038.041
70045262,1243.501
70174032,1037.725
70283328,1600.864
70207927,1224.667
70207927,1216.439
70283328,1604.204
70174032,1036.462
70283328,1605.364
70174032,1040.65
70045262,1243.48
70207927,1216.287
70283328,1606.371
70174032,1062.721
70174032,1059.41
70174032,1044.881
70174032,1070.819
70283328,1606.957
70283328,1607.542
70045262,1243.053
70174032,1081.187
70045262,1243.027
70174032,1091.348
70174032,1099.4
70045262,1242.969
70211926,1200.313
70174032,1103.515
70283328,1614.04
70174032,1108.549
70211926,1199.977
70211926,1199.265
70207927,1214.303
70174032,1111.876
70211926,1199.106
70207927,1139.429
70207927,1209.736
70045262,1242.943
70174032,1115.394
70207927,1135.523
70207927,1136.021
70283328,1621.507
70174032,1117.953
70211926,1198.968
70045262,1239.092
70045262,1239.055
70207927,1094.37
70283328,1622.301
70174032,1120.375
70207927,1093.544
70211926,1197.945
70283328,1623.642
70283328,1626.923
70211926,1197.284
70207927,1089.892
70283328,1627.129
70211926,1155.727
70283328,1627.564
70283328,1628.765
70211926,1153.813
70283328,1629.108
70283328,1629.284
70211926,1152.514
70211926,1149.87
70211926,1143.046
70211926,1138.033
70211926,1131.974
70283328,1630.228
70283328,1630.434
70211926,1126.814
70283328,1630.997
70283328,1632.745
70283328,1633.245
70211926,1120.572
70283328,1633.433
70283328,1633.64
70211926,1114.404
70283328,1633.929
70211926,1112.007
70283328,1634.375
70283328,1635.797
70283328,1634.691
70211926,1108.241
70283328,1706.872
70211926,1101.528
70283328,1707.365
70211926,1098.87
70283328,1738.686
70283328,1738.985
70211926,1097.232
70283328,1739.53
70283328,1742.049
70211926,1093.507
70283328,1742.912
70283328,1743.103
70211926,1088.71
70283328,1743.565
70211926,1087.966
70211926,1085.667
70283328,1744.225
70211926,1085.301
70283328,1745.065
70211926,1084.635
70283328,1745.904
70211926,1082.71
70211926,1082.148
70283328,1747.19
70386275,1006.924
70386275,1021.422
70211926,1081.69
